species,Premonsoon,Postmonsoon,Monsoon
Scapholeberis kingi,2.702545918961849,0.20320000163234936,2.7323179888004456
Nettapus coromandelianus,0.0,0.0,
Felis chaus,0.0,0.0,0.0
Centropus bengalensis,0.0,0.0,0.0
Himantopus himantopus,0.0,0.0,0.0
Euphlyctis cyanophlyctis,11.350386485687268,8.453820418720161,11.131644114726512
Anas poecilorhyncha,0.0,0.0,
Alona pulchella,2.6503898387010936,0.19726730073624033,2.6746015032441868
Mastacembelus armatus,1.2371785342649022,1.5111182324769887,1.2371785342649022
Asplanchna brightwelli,2.6503898387010936,0.19726730073624033,2.6746015032441868
Glossogobius giuris,1.353147762747138,1.5111182324769887,1.353147762747138
Polypedates maculatus,11.115736442735002,8.44798570152849,10.998464227356168
Aquarius adelaides,34.625095230959424,33.050848821471945,34.25793102854559
Naja naja,0.0,0.0,0.0
Hirundo rustica,0.0,0.0,0.0
Macrobrachium rosenbergii,7.030273732425373,11.380997835063651,6.170568218415143
Nycticorax nycticorax,0.0,0.0,0.0
Ardea alba,0.0,0.0,0.0
Bungarus fasciatus,1.9113608367864567,,1.9680098966798616
Macrobrachium equidens,7.030273732425373,11.380997835063651,6.170568218415143
Mesocyclops leukarti,2.702545918961849,0.20320000163234936,2.7323179888004456
Oreochromis niloticus,1.353147762747138,1.5111182324769887,1.353147762747138
Gallinula chloropus,0.0,0.0,
Limnogonus fossarum,34.625095230959424,33.050848821471945,34.25793102854559
Notopterus notopterus,1.2371785342649022,1.5111182324769887,1.2371785342649022
Varanus bengalensis,0.0,0.0,0.0
Xenentodon cancila,1.2371785342649022,1.4166800192276874,1.2371785342649022
Macrobrachium rude,7.030273732425373,11.380997835063651,6.170568218415143
Amaurornis phoenicurus,0.0,0.0,0.0
Big fish juveniles,18.11595670137629,15.278375184849644,18.991925523473398
Trichogaster lalius,18.11595670137629,15.278375184849644,18.991925523473398
Aplocheilus panchax,17.696506482804846,15.10124735897353,18.557589205016114
Hydrovatus confertus,33.86455842310747,32.779755168931615,33.27219828131472
Ardea intermedia,0.0,0.0,0.0
Channa gachua,1.2371785342649022,1.4166800192276874,1.2371785342649022
Merops orientalis,0.0,0.0,0.0
Dendrocygna javanica,0.0,0.0,0.0
Green Algae,12.242547050977107,15.294046790975873,12.537387577398306
Mycteria leucocephala,0.0,0.0,0.0
